event_id,created_at,user_id,error_type,context,candidates_shown,clicked_id,contacted_id,chosen_id,solved,user_rating,time_to_resolution_days,comment
108,2025-08-26 01:36:33,user_70,RAM Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Mullaitivu'}","['COL001', 'KEG372', 'BAD327', 'TRI213', 'GAL092', 'KEG371', 'KEG367', 'MUL184']",MUL184,,MUL184,False,3,6.73,
109,2025-08-28 22:25:33,user_92,Laptop Screen Repair,"{'budget': 'low', 'urgency': 'low', 'district': 'Ratnapura'}","['VAV210', 'KUR259', 'RAT356', 'JAF136', 'COL003', 'COL004']",RAT356,,RAT356,True,5,2.03,
110,2025-08-18 19:30:33,user_90,GPU Overheat,"{'budget': 'low', 'urgency': 'medium', 'district': 'Anuradhapura'}","['MUL181', 'ANU290', 'POL303', 'KAL036', 'TRI213']",ANU290,,ANU290,True,5,1.02,
111,2025-09-18 19:04:33,user_2,OS Installation,"{'budget': 'low', 'urgency': 'high', 'district': 'Anuradhapura'}","['GAL103', 'ANU298', 'ANU289', 'TRI216', 'POL302', 'COL014', 'NUW077']",ANU298,ANU298,ANU298,True,4,1.95,
112,2025-08-16 21:20:33,user_92,Boot Failure,"{'budget': 'low', 'urgency': 'high', 'district': 'Puttalam'}","['BAT230', 'GAM016', 'PUT274', 'KEG363', 'RAT347', 'KIL162']",KIL162,,PUT274,True,3,1.99,
113,2025-09-18 22:10:33,user_113,GPU Overheat,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Colombo'}","['NUW088', 'BAD330', 'GAM023', 'COL012', 'POL302', 'PUT273']",POL302,,COL012,False,2,3.81,
114,2025-08-13 21:29:33,user_20,RAM Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Nuwara Eliya'}","['TRI211', 'NUW077', 'COL002', 'HAM121', 'KAN056', 'KUR268']",NUW077,COL002,NUW077,True,4,1.59,
115,2025-09-17 19:47:33,user_4,Boot Failure,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Kandy'}","['VAV208', 'KAL041', 'KAN056', 'RAT348', 'MAT106']",KAN056,,KAN056,True,4,2.39,
116,2025-08-27 21:12:33,user_101,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'low', 'district': 'Ampara'}","['RAT356', 'VAV202', 'POL304', 'MAT068', 'AMP241', 'NUW079', 'KUR259', 'AMP251']",AMP241,,AMP241,True,5,0.72,
117,2025-08-19 00:33:33,user_86,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Hambantota'}","['HAM125', 'GAL097', 'MAT116', 'GAM028', 'RAT348', 'ANU293', 'TRI212']",HAM125,HAM125,HAM125,True,5,3.44,
118,2025-08-22 23:29:33,user_64,OS Installation,"{'budget': 'low', 'urgency': 'high', 'district': 'Colombo'}","['GAL100', 'KIL156', 'HAM131', 'MAT118', 'COL012']",COL012,GAL100,COL012,False,2,5.67,
119,2025-09-03 19:11:33,user_45,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'low', 'district': 'Badulla'}","['POL304', 'TRI221', 'MUL188', 'BAD325', 'GAM026', 'JAF136']",BAD325,BAD325,BAD325,False,3,9.29,
120,2025-09-21 01:06:33,user_56,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'high', 'district': 'Badulla'}","['MAN175', 'COL001', 'BAD323', 'RAT346', 'ANU292', 'JAF137', 'GAM019']",BAD323,BAD323,BAD323,True,5,2.89,
121,2025-08-29 04:11:33,user_99,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Kilinochchi'}","['KAL035', 'MAN178', 'KIL162', 'KIL160', 'AMP243', 'BAT228', 'NUW076', 'MAT117']",KIL160,AMP243,KIL160,True,3,0.28,
122,2025-09-08 03:51:33,user_26,Data Recovery,"{'budget': 'low', 'urgency': 'high', 'district': 'Kilinochchi'}","['KAL036', 'AMP243', 'COL002', 'KIL157', 'JAF144', 'MON335', 'NUW085', 'HAM132']",KIL157,KIL157,KIL157,True,5,2.0,
123,2025-09-21 04:05:33,user_48,GPU Overheat,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['MAT120', 'RAT355', 'NUW079', 'KAN046', 'JAF137']",NUW079,,NUW079,True,4,1.74,
124,2025-08-29 02:45:33,user_55,Boot Failure,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Mannar'}","['MAN171', 'POL301', 'GAM017', 'JAF146', 'MAN170', 'HAM128']",MAN170,MAN170,MAN170,True,5,1.0,
125,2025-09-09 05:52:33,user_70,Wi‑Fi Adapter Upgrade,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kegalle'}","['MAT073', 'POL315', 'MUL181', 'KEG373', 'MAN171', 'MAT113']",KEG373,MUL181,KEG373,True,5,2.74,
126,2025-09-13 01:12:33,user_36,Data Recovery,"{'budget': 'medium', 'urgency': 'high', 'district': 'Gampaha'}","['GAM029', 'PUT273', 'MAN172', 'HAM127', 'MAT071']",GAM029,,GAM029,True,5,1.7,
127,2025-09-22 01:32:33,user_87,Laptop Screen Repair,"{'budget': 'low', 'urgency': 'low', 'district': 'Matara'}","['GAM030', 'BAT226', 'BAD317', 'TRI224', 'COL006', 'MAT116']",MAT116,,MAT116,True,5,2.77,
128,2025-08-21 19:51:33,user_11,Boot Failure,"{'budget': 'medium', 'urgency': 'high', 'district': 'Gampaha'}","['MAT117', 'KIL151', 'POL307', 'GAM026', 'MAT108', 'MUL181', 'KAL039', 'COL002']",GAM026,,GAM026,True,4,2.63,
129,2025-09-09 19:48:33,user_112,RAM Upgrade,"{'budget': 'low', 'urgency': 'high', 'district': 'Colombo'}","['MUL181', 'KUR268', 'RAT347', 'HAM124', 'KAN054', 'COL007']",COL007,,COL007,True,4,3.44,
130,2025-08-22 21:18:33,user_81,OS Installation,"{'budget': 'high', 'urgency': 'low', 'district': 'Batticaloa'}","['BAD323', 'BAT227', 'NUW084', 'COL005', 'KEG362', 'MAN168', 'BAD319', 'MAT115']",BAT227,,BAT227,True,5,1.66,
131,2025-09-19 21:39:33,user_8,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Polonnaruwa'}","['COL006', 'KUR268', 'TRI223', 'TRI224', 'POL303', 'VAV205', 'GAL093', 'POL310']",POL310,POL310,POL310,False,1,6.07,
132,2025-09-23 01:23:33,user_53,SSD Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Kurunegala'}","['COL001', 'COL004', 'COL011', 'KIL152', 'NUW087', 'KUR257']",NUW087,KUR257,KUR257,True,4,2.0,
133,2025-09-22 03:16:33,user_48,SSD Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Anuradhapura'}","['ANU288', 'KAL037', 'NUW086', 'COL007', 'ANU299']",NUW086,ANU288,ANU288,True,5,1.24,
134,2025-08-21 03:08:33,user_58,Wi‑Fi Adapter Upgrade,"{'budget': 'low', 'urgency': 'high', 'district': 'Badulla'}","['ANU289', 'BAD316', 'RAT351', 'NUW085', 'GAL092', 'HAM127', 'BAD321', 'GAM029']",NUW085,,BAD321,False,2,5.59,
135,2025-08-30 22:26:33,user_35,Boot Failure,"{'budget': 'high', 'urgency': 'medium', 'district': 'Batticaloa'}","['MAT111', 'BAT235', 'HAM124', 'HAM122', 'HAM130', 'PUT271', 'GAL101']",BAT235,,BAT235,True,5,2.44,
136,2025-08-31 03:10:33,user_100,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Kalutara'}","['BAD320', 'MAN177', 'KAL035', 'POL308', 'KAN050']",BAD320,,KAL035,True,5,0.93,
137,2025-08-16 18:27:33,user_48,GPU Overheat,"{'budget': 'low', 'urgency': 'high', 'district': 'Trincomalee'}","['PUT272', 'MAT106', 'HAM130', 'NUW088', 'TRI217']",HAM130,TRI217,TRI217,False,2,6.45,
138,2025-08-21 21:30:33,user_106,OS Installation,"{'budget': 'high', 'urgency': 'high', 'district': 'Mannar'}","['HAM128', 'GAM016', 'NUW076', 'KUR260', 'MAN173', 'GAM018', 'MUL181']",GAM018,,MAN173,True,5,2.43,
139,2025-09-08 20:32:33,user_36,PSU / Power Issue,"{'budget': 'low', 'urgency': 'low', 'district': 'Vavuniya'}","['MAT066', 'KAL045', 'JAF148', 'MAT112', 'VAV196']",VAV196,,VAV196,True,5,1.4,
140,2025-09-10 02:09:33,user_117,Blue Screen (BSOD),"{'budget': 'low', 'urgency': 'high', 'district': 'Vavuniya'}","['POL307', 'GAM030', 'VAV196', 'BAT238', 'MON338', 'GAM019', 'KEG364']",VAV196,,VAV196,False,2,9.16,
141,2025-08-25 02:51:33,user_108,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Badulla'}","['MAT113', 'NUW086', 'BAD327', 'KAN058', 'KEG364', 'NUW076']",BAD327,BAD327,BAD327,True,4,2.7,
142,2025-08-22 19:36:33,user_105,SSD Upgrade,"{'budget': 'low', 'urgency': 'high', 'district': 'Mannar'}","['AMP246', 'JAF147', 'MAN179', 'COL006', 'RAT358', 'KAL034', 'MAT069', 'MAN173']",MAN173,MAN173,MAN173,True,4,1.76,
143,2025-08-15 04:48:33,user_12,RAM Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Trincomalee'}","['KAN046', 'BAD329', 'VAV196', 'VAV205', 'MUL181', 'KAL034', 'COL007', 'TRI218']",TRI218,TRI218,TRI218,True,5,1.25,
144,2025-08-23 03:35:33,user_65,GPU Overheat,"{'budget': 'medium', 'urgency': 'high', 'district': 'Puttalam'}","['GAM023', 'BAD322', 'PUT277', 'GAM016', 'PUT279']",PUT279,,PUT279,True,5,0.1,
145,2025-09-16 00:47:33,user_86,Boot Failure,"{'budget': 'high', 'urgency': 'medium', 'district': 'Mannar'}","['KAL042', 'MAN172', 'HAM126', 'NUW080', 'MUL187', 'MAN168']",MAN168,MAN168,MAN168,True,5,1.91,
146,2025-08-25 20:11:33,user_21,RAM Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Hambantota'}","['HAM122', 'KEG372', 'COL014', 'GAL091', 'JAF140', 'KIL152']",HAM122,HAM122,HAM122,True,5,2.47,
147,2025-09-17 05:25:33,user_22,Data Recovery,"{'budget': 'low', 'urgency': 'high', 'district': 'Galle'}","['GAM028', 'BAT231', 'GAL105', 'GAM029', 'GAL099']",GAL099,,GAL099,True,4,2.7,
148,2025-09-21 21:17:33,user_88,Boot Failure,"{'budget': 'high', 'urgency': 'high', 'district': 'Polonnaruwa'}","['AMP242', 'GAL095', 'POL306', 'KIL156', 'GAM021', 'KEG363', 'JAF142', 'MAT061']",KIL156,,POL306,True,4,1.64,
149,2025-09-05 05:38:33,user_45,Blue Screen (BSOD),"{'budget': 'low', 'urgency': 'low', 'district': 'Galle'}","['GAL095', 'MON333', 'VAV202', 'MAT063', 'RAT351']",GAL095,,GAL095,True,5,1.64,
150,2025-09-12 21:09:33,user_63,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'low', 'district': 'Jaffna'}","['COL001', 'JAF145', 'BAT239', 'MAN174', 'HAM132', 'COL015']",JAF145,JAF145,JAF145,True,4,2.15,
151,2025-08-25 01:55:33,user_93,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'high', 'district': 'Gampaha'}","['KUR265', 'VAV202', 'GAM017', 'ANU289', 'COL001']",GAM017,,GAM017,True,5,0.62,
152,2025-08-31 18:22:33,user_26,OS Installation,"{'budget': 'medium', 'urgency': 'high', 'district': 'Ratnapura'}","['KIL163', 'PUT279', 'PUT273', 'NUW076', 'VAV206', 'RAT348', 'KAN057']",RAT348,,RAT348,True,5,1.74,
153,2025-09-05 19:27:33,user_63,Data Recovery,"{'budget': 'high', 'urgency': 'medium', 'district': 'Hambantota'}","['MAT106', 'GAM019', 'NUW085', 'GAL095', 'COL015', 'HAM126']",HAM126,,HAM126,True,4,0.68,
154,2025-09-02 22:22:33,user_32,Data Recovery,"{'budget': 'high', 'urgency': 'high', 'district': 'Galle'}","['COL011', 'GAL094', 'MAT106', 'KAN050', 'KIL160']",GAL094,,GAL094,True,4,1.12,
155,2025-09-06 18:08:33,user_55,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'high', 'district': 'Kilinochchi'}","['MAT061', 'TRI213', 'KIL162', 'KAN048', 'TRI212', 'RAT354', 'VAV198', 'COL011']",KIL162,,KIL162,False,1,3.24,
156,2025-08-17 05:28:33,user_6,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Matale'}","['MAT068', 'MAN180', 'MAN174', 'MAT110', 'AMP249', 'GAM026', 'HAM130']",MAT068,,MAT068,True,5,2.41,
157,2025-08-29 04:00:33,user_39,RAM Upgrade,"{'budget': 'high', 'urgency': 'medium', 'district': 'Matale'}","['KEG367', 'MON339', 'MAN168', 'RAT346', 'MAT071']",MAT071,,MAT071,True,5,1.45,
158,2025-08-31 19:41:33,user_39,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Mullaitivu'}","['BAT228', 'MUL193', 'ANU295', 'KAL036', 'HAM131', 'MUL184']",MUL184,,MUL184,True,5,1.21,
159,2025-08-18 23:27:33,user_96,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Colombo'}","['TRI219', 'MAT075', 'HAM123', 'COL002', 'HAM124']",COL002,,COL002,True,5,1.47,
160,2025-09-23 00:25:33,user_55,GPU Overheat,"{'budget': 'medium', 'urgency': 'high', 'district': 'Kegalle'}","['KAL034', 'KEG361', 'TRI217', 'AMP248', 'MAT066', 'MAN171', 'ANU290']",MAN171,,KEG361,True,4,2.97,
161,2025-09-09 00:45:33,user_116,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Monaragala'}","['BAT230', 'MON333', 'POL305', 'MON337', 'GAM028', 'NUW082']",MON333,MON333,MON333,True,5,1.52,
162,2025-08-19 01:08:33,user_80,Boot Failure,"{'budget': 'low', 'urgency': 'medium', 'district': 'Colombo'}","['GAM027', 'COL004', 'MAT118', 'PUT274', 'KEG362', 'MON333']",COL004,COL004,COL004,True,4,2.66,
163,2025-08-13 05:42:33,user_109,Data Recovery,"{'budget': 'low', 'urgency': 'medium', 'district': 'Mannar'}","['MAN167', 'MAN166', 'TRI218', 'RAT346', 'ANU287', 'KIL157', 'MON336', 'GAM020']",MAN166,KIL157,MAN167,True,5,1.4,
164,2025-08-30 18:36:33,user_94,SSD Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Galle'}","['MAN180', 'NUW083', 'AMP241', 'POL306', 'KAL034', 'GAL105', 'KEG368']",GAL105,,GAL105,False,1,7.59,
165,2025-08-24 19:31:33,user_26,GPU Overheat,"{'budget': 'low', 'urgency': 'high', 'district': 'Vavuniya'}","['KUR262', 'AMP244', 'GAM022', 'BAD329', 'PUT272', 'KIL157', 'VAV196', 'GAM028']",GAM022,VAV196,VAV196,True,5,1.61,
166,2025-09-23 04:36:33,user_45,GPU Overheat,"{'budget': 'medium', 'urgency': 'high', 'district': 'Matale'}","['POL310', 'MAT063', 'HAM123', 'MAT061', 'MAN167', 'COL003', 'MON331']",MAN167,,MAT063,False,2,4.07,
167,2025-08-15 05:24:33,user_16,Wi‑Fi Adapter Upgrade,"{'budget': 'low', 'urgency': 'medium', 'district': 'Badulla'}","['GAL092', 'HAM127', 'KIL160', 'NUW087', 'BAD325']",KIL160,BAD325,BAD325,False,2,8.47,
168,2025-09-12 04:05:33,user_3,GPU Overheat,"{'budget': 'low', 'urgency': 'medium', 'district': 'Matara'}","['KAL040', 'MAT110', 'AMP252', 'COL006', 'PUT273', 'KAL032']",MAT110,,MAT110,True,5,2.57,
169,2025-09-03 03:39:33,user_17,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Jaffna'}","['BAD326', 'GAM024', 'MAT109', 'KIL161', 'ANU300', 'KIL165', 'JAF141', 'BAD321']",JAF141,,JAF141,True,4,1.98,
170,2025-08-18 19:32:33,user_113,GPU Overheat,"{'budget': 'low', 'urgency': 'low', 'district': 'Mullaitivu'}","['MON334', 'GAM016', 'GAL092', 'GAL094', 'MUL185']",MUL185,MUL185,MUL185,True,5,0.12,
171,2025-08-29 04:40:33,user_43,SSD Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Polonnaruwa'}","['KEG365', 'KIL161', 'POL315', 'COL015', 'MAN167']",MAN167,,POL315,True,5,4.71,
172,2025-08-20 02:34:33,user_36,RAM Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Colombo'}","['BAT230', 'KAL035', 'NUW076', 'COL008', 'KAN046', 'KIL164']",COL008,COL008,COL008,False,4,6.65,
173,2025-09-20 05:11:33,user_86,Blue Screen (BSOD),"{'budget': 'medium', 'urgency': 'low', 'district': 'Kandy'}","['HAM124', 'NUW081', 'JAF147', 'COL012', 'KAN054', 'GAL101', 'KEG371']",KAN054,,KAN054,True,5,3.91,
174,2025-08-22 21:49:33,user_23,RAM Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Anuradhapura'}","['GAM016', 'KAL037', 'ANU286', 'KAL043', 'MON331', 'KAN046', 'MAT111']",MON331,ANU286,ANU286,True,5,0.27,
175,2025-08-23 01:52:33,user_44,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Badulla'}","['KUR270', 'BAD327', 'MAN178', 'MAT071', 'BAD319', 'KEG369', 'KIL164']",KUR270,BAD327,BAD327,True,4,2.83,
176,2025-08-20 05:28:33,user_84,Wi‑Fi Adapter Upgrade,"{'budget': 'medium', 'urgency': 'low', 'district': 'Mullaitivu'}","['HAM133', 'KAN054', 'MUL194', 'KAL045', 'MON339', 'KUR268', 'MAT066', 'NUW080']",MUL194,,MUL194,True,5,2.29,
177,2025-09-01 00:48:33,user_87,SSD Upgrade,"{'budget': 'high', 'urgency': 'medium', 'district': 'Ratnapura'}","['MAN167', 'RAT350', 'NUW078', 'RAT346', 'BAT236', 'RAT347', 'MUL195', 'GAM030']",RAT346,RAT346,RAT346,True,5,0.91,
178,2025-08-23 05:51:33,user_27,OS Installation,"{'budget': 'medium', 'urgency': 'high', 'district': 'Matale'}","['AMP243', 'BAT229', 'BAT238', 'KEG367', 'MAT072', 'VAV206']",KEG367,,MAT072,True,5,0.13,
179,2025-09-03 05:05:33,user_18,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'medium', 'district': 'Matara'}","['KAL038', 'MAT106', 'MAN166', 'KAN046', 'HAM135', 'NUW084']",HAM135,,MAT106,True,5,1.8,
180,2025-09-02 03:53:33,user_74,Blue Screen (BSOD),"{'budget': 'high', 'urgency': 'medium', 'district': 'Kalutara'}","['KEG361', 'VAV208', 'ANU297', 'KAL036', 'MON337']",KAL036,,KAL036,True,5,2.51,
181,2025-09-18 04:24:33,user_39,PSU / Power Issue,"{'budget': 'medium', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['VAV199', 'MAT118', 'GAM028', 'PUT277', 'KAL045', 'KAL035', 'NUW088']",KAL035,NUW088,NUW088,True,5,2.97,
182,2025-09-15 20:48:33,user_86,SSD Upgrade,"{'budget': 'medium', 'urgency': 'low', 'district': 'Kandy'}","['KAL035', 'MAT073', 'KAN054', 'POL309', 'RAT359', 'ANU293', 'KUR268', 'KAN052']",KAN054,KAN054,KAN054,True,4,2.82,
183,2025-08-18 05:28:33,user_33,Blue Screen (BSOD),"{'budget': 'high', 'urgency': 'high', 'district': 'Polonnaruwa'}","['POL304', 'BAT233', 'MON336', 'COL005', 'TRI214', 'COL003', 'HAM130', 'MAN168']",COL003,POL304,POL304,True,5,1.92,
184,2025-09-12 01:38:33,user_7,Laptop Screen Repair,"{'budget': 'low', 'urgency': 'high', 'district': 'Galle'}","['PUT276', 'POL301', 'COL007', 'MUL185', 'MAT114', 'MAN179', 'GAM030', 'GAL092']",GAL092,GAL092,GAL092,True,4,3.44,
185,2025-09-24 02:40:33,user_89,GPU Overheat,"{'budget': 'low', 'urgency': 'medium', 'district': 'Gampaha'}","['ANU296', 'GAM028', 'KUR257', 'GAM026', 'KUR260', 'MON332', 'MAT107']",GAM026,,GAM026,True,5,2.51,
186,2025-08-30 01:48:33,user_80,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Matara'}","['GAM021', 'AMP251', 'ANU293', 'KIL156', 'MAT070', 'MAT118', 'KUR268', 'MUL192']",MAT118,,MAT118,False,3,9.57,
187,2025-09-23 00:14:33,user_72,Boot Failure,"{'budget': 'low', 'urgency': 'high', 'district': 'Gampaha'}","['MAN173', 'MON338', 'COL004', 'KAN048', 'COL010', 'GAM016', 'HAM130', 'VAV196']",GAM016,GAM016,GAM016,True,4,0.64,
188,2025-09-04 19:07:33,user_114,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Kalutara'}","['KAL039', 'NUW086', 'ANU289', 'COL001', 'ANU286', 'BAD318', 'AMP241']",KAL039,KAL039,KAL039,True,5,1.84,
189,2025-08-17 04:12:33,user_90,Laptop Screen Repair,"{'budget': 'medium', 'urgency': 'high', 'district': 'Matara'}","['POL303', 'BAD316', 'MON345', 'AMP245', 'POL305', 'KEG371', 'MAT116', 'MAT117']",MAT117,MAT117,MAT117,False,3,7.56,
190,2025-09-17 02:10:33,user_9,SSD Upgrade,"{'budget': 'medium', 'urgency': 'high', 'district': 'Polonnaruwa'}","['POL302', 'GAL099', 'COL009', 'HAM126', 'MAN178', 'BAT228']",POL302,POL302,POL302,True,5,1.38,
191,2025-08-31 21:16:33,user_41,Laptop Screen Repair,"{'budget': 'high', 'urgency': 'low', 'district': 'Badulla'}","['PUT276', 'KEG371', 'GAM020', 'JAF138', 'BAD330', 'VAV199']",KEG371,,BAD330,True,4,1.43,
192,2025-08-18 21:23:33,user_16,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Matale'}","['BAT226', 'MAT116', 'MAT067', 'GAL091', 'COL006', 'MAT112']",MAT067,MAT067,MAT067,True,5,4.0,
193,2025-08-30 01:40:33,user_3,GPU Overheat,"{'budget': 'medium', 'urgency': 'high', 'district': 'Polonnaruwa'}","['ANU294', 'HAM131', 'POL304', 'POL301', 'KAL043']",POL304,POL304,POL304,True,4,3.31,
194,2025-08-26 23:47:33,user_10,OS Installation,"{'budget': 'medium', 'urgency': 'high', 'district': 'Kurunegala'}","['KUR260', 'COL014', 'HAM125', 'TRI217', 'POL308', 'BAD325', 'VAV205', 'ANU288']",VAV205,,KUR260,False,2,5.15,
195,2025-08-11 05:08:33,user_85,OS Installation,"{'budget': 'high', 'urgency': 'low', 'district': 'Gampaha'}","['GAM025', 'GAM030', 'MUL189', 'KAL034', 'KAL042', 'KAL031', 'JAF139']",GAM025,GAM025,GAM025,True,5,0.84,
196,2025-08-17 21:09:33,user_48,Blue Screen (BSOD),"{'budget': 'high', 'urgency': 'medium', 'district': 'Puttalam'}","['KUR261', 'PUT272', 'TRI219', 'KUR258', 'GAM026']",KUR261,,PUT272,False,4,5.48,
197,2025-08-22 20:12:33,user_27,GPU Overheat,"{'budget': 'high', 'urgency': 'high', 'district': 'Colombo'}","['MON340', 'HAM131', 'COL007', 'KAL031', 'GAL092', 'TRI211', 'NUW080']",COL007,,COL007,True,4,2.55,
198,2025-09-09 20:46:33,user_21,Blue Screen (BSOD),"{'budget': 'low', 'urgency': 'medium', 'district': 'Hambantota'}","['COL015', 'AMP245', 'HAM127', 'KEG361', 'GAL094']",HAM127,,HAM127,True,4,1.37,
199,2025-09-15 23:16:33,user_115,SSD Upgrade,"{'budget': 'medium', 'urgency': 'low', 'district': 'Colombo'}","['RAT347', 'KIL154', 'HAM122', 'COL011', 'GAM016']",COL011,,COL011,True,4,0.85,
200,2025-09-07 03:36:33,user_46,Data Recovery,"{'budget': 'medium', 'urgency': 'low', 'district': 'Matara'}","['HAM126', 'MAT106', 'GAM030', 'KUR266', 'NUW089', 'AMP244']",KUR266,MAT106,MAT106,True,5,1.78,
201,2025-09-17 04:33:33,user_87,Wi‑Fi Adapter Upgrade,"{'budget': 'high', 'urgency': 'low', 'district': 'Galle'}","['GAL092', 'MAN179', 'MAN166', 'MAT112', 'BAT228', 'KUR267', 'MAT073']",GAL092,GAL092,GAL092,False,3,8.38,
202,2025-09-04 22:28:33,user_58,GPU Overheat,"{'budget': 'low', 'urgency': 'medium', 'district': 'Mullaitivu'}","['MAT114', 'GAL093', 'GAM026', 'BAD321', 'MUL192', 'GAL094', 'ANU299', 'POL308']",MUL192,MUL192,MUL192,True,5,1.02,
203,2025-09-17 20:57:33,user_9,OS Installation,"{'budget': 'low', 'urgency': 'high', 'district': 'Matara'}","['MAN175', 'KEG366', 'GAL093', 'GAM026', 'MAT112', 'KAN054', 'NUW086']",MAT112,,MAT112,False,3,6.64,
204,2025-08-17 20:26:33,user_56,PSU / Power Issue,"{'budget': 'low', 'urgency': 'low', 'district': 'Batticaloa'}","['BAT231', 'GAL095', 'HAM124', 'MAN169', 'POL304']",POL304,,BAT231,True,5,0.58,
205,2025-08-23 19:17:33,user_33,PSU / Power Issue,"{'budget': 'low', 'urgency': 'high', 'district': 'Badulla'}","['AMP241', 'BAT236', 'BAD316', 'MAT120', 'COL013']",AMP241,,BAD316,True,5,1.75,
206,2025-08-13 19:49:33,user_77,Data Recovery,"{'budget': 'high', 'urgency': 'medium', 'district': 'Batticaloa'}","['MAT067', 'BAT226', 'MAN172', 'KAN050', 'NUW078']",NUW078,BAT226,BAT226,True,5,1.24,
207,2025-09-15 00:05:33,user_103,Data Recovery,"{'budget': 'medium', 'urgency': 'high', 'district': 'Kandy'}","['NUW085', 'MAT068', 'KAL033', 'RAT351', 'KAN048', 'AMP243']",KAN048,,KAN048,False,1,9.18,
208,2025-08-18 05:08:33,user_87,PSU / Power Issue,"{'budget': 'low', 'urgency': 'medium', 'district': 'Nuwara Eliya'}","['ANU291', 'KAL043', 'GAL098', 'TRI218', 'MAT106', 'RAT347', 'AMP248', 'NUW090']",NUW090,,NUW090,True,5,2.28,
209,2025-08-30 05:16:33,user_37,OS Installation,"{'budget': 'high', 'urgency': 'medium', 'district': 'Kegalle'}","['PUT275', 'COL014', 'BAD324', 'KAN051', 'GAL092', 'KEG366', 'NUW081', 'POL307']",POL307,KEG366,KEG366,True,3,2.65,
210,2025-09-14 02:19:33,user_81,Data Recovery,"{'budget': 'high', 'urgency': 'high', 'district': 'Ampara'}","['TRI216', 'GAM028', 'MON331', 'MAT068', 'AMP243', 'NUW079', 'BAT229']",AMP243,AMP243,AMP243,True,4,3.27,
211,2025-09-02 20:01:33,user_47,Blue Screen (BSOD),"{'budget': 'high', 'urgency': 'low', 'district': 'Hambantota'}","['MUL182', 'MAT107', 'COL009', 'HAM128', 'GAL097', 'JAF138']",HAM128,,HAM128,False,3,6.26,
212,2025-08-14 21:32:33,user_94,OS Installation,"{'budget': 'low', 'urgency': 'medium', 'district': 'Kurunegala'}","['BAD323', 'MAT069', 'KUR257', 'KUR266', 'KUR261', 'GAL104']",KUR261,KUR266,KUR261,True,5,2.0,
213,2025-08-27 20:38:33,user_36,RAM Upgrade,"{'budget': 'high', 'urgency': 'high', 'district': 'Vavuniya'}","['KAL045', 'PUT271', 'POL315', 'KAN057', 'VAV198', 'MON337', 'KAN060']",KAN060,,VAV198,True,5,0.38,
214,2025-08-31 18:29:33,user_42,Data Recovery,"{'budget': 'high', 'urgency': 'low', 'district': 'Nuwara Eliya'}","['GAM018', 'GAL092', 'MON334', 'RAT360', 'NUW082', 'MAT107', 'RAT351']",MON334,NUW082,NUW082,True,4,3.23,
